DATE,MAPCPI
1929-01-01,911
1930-01-01,842
1931-01-01,766
1932-01-01,622
1933-01-01,568
1934-01-01,618
1935-01-01,653
1936-01-01,725
1937-01-01,742
1938-01-01,683
1939-01-01,736
1940-01-01,793
1941-01-01,921
1942-01-01,1102
1943-01-01,1296
1944-01-01,1330
1945-01-01,1382
1946-01-01,1422
1947-01-01,1458
1948-01-01,1532
1949-01-01,1498
1950-01-01,1685.0
1951-01-01,1857.0
1952-01-01,1944.0
1953-01-01,1994.0
1954-01-01,1973.0
1955-01-01,2116.0
1956-01-01,2241.0
1957-01-01,2350.0
1958-01-01,2362.0
1959-01-01,2468.0
1960-01-01,2548.0
1961-01-01,2647.0
1962-01-01,2773.0
1963-01-01,2845.0
1964-01-01,2980.0
1965-01-01,3148.0
1966-01-01,3369.0
1967-01-01,3622.0
1968-01-01,3938.0
1969-01-01,4255.0
1970-01-01,4552.0
1971-01-01,4834.0
1972-01-01,5203.0
1973-01-01,5632.0
1974-01-01,6090.0
1975-01-01,6560.0
1976-01-01,7078.0
1977-01-01,7712.0
1978-01-01,8522.0
1979-01-01,9482.0
1980-01-01,10688.0
1981-01-01,11859.0
1982-01-01,12996.0
1983-01-01,14046.0
1984-01-01,15715.0
1985-01-01,16881.0
1986-01-01,18143.0
1987-01-01,19477.0
1988-01-01,21343.0
1989-01-01,22455.0
1990-01-01,23115.0
1991-01-01,23510.0
1992-01-01,24613.0
1993-01-01,25448.0
1994-01-01,26579.0
1995-01-01,27928.0
1996-01-01,29490.0
1997-01-01,31026.0
1998-01-01,32767.0
1999-01-01,34767.0
2000-01-01,38381.0
2001-01-01,39711.0
2002-01-01,39419.0
2003-01-01,40158.0
2004-01-01,42242.0
2005-01-01,44061.0
2006-01-01,47311.0
2007-01-01,49662.0
2008-01-01,51546.0
2009-01-01,50751.0
2010-01-01,52708.0
2011-01-01,54764.0
2012-01-01,56269.0
2013-01-01,56130.0
2014-01-01,58141.0
2015-01-01,61548.0
2016-01-01,63487.0
2017-01-01,66076.0
2018-01-01,69195.0
2019-01-01,72383.0
2020-01-01,77435.0
2021-01-01,83805.0
2022-01-01,86200.0
2023-01-01,90596.0
