DATE,NHPCPI
1929-01-01,688
1930-01-01,648
1931-01-01,560
1932-01-01,430
1933-01-01,420
1934-01-01,480
1935-01-01,504
1936-01-01,542
1937-01-01,570
1938-01-01,537
1939-01-01,566
1940-01-01,586
1941-01-01,720
1942-01-01,871
1943-01-01,1002
1944-01-01,1082
1945-01-01,1139
1946-01-01,1168
1947-01-01,1233
1948-01-01,1312
1949-01-01,1297
1950-01-01,1373.0
1951-01-01,1538.0
1952-01-01,1612.0
1953-01-01,1692.0
1954-01-01,1746.0
1955-01-01,1869.0
1956-01-01,1951.0
1957-01-01,2065.0
1958-01-01,2071.0
1959-01-01,2198.0
1960-01-01,2271.0
1961-01-01,2356.0
1962-01-01,2464.0
1963-01-01,2503.0
1964-01-01,2635.0
1965-01-01,2787.0
1966-01-01,3031.0
1967-01-01,3235.0
1968-01-01,3513.0
1969-01-01,3842.0
1970-01-01,3997.0
1971-01-01,4225.0
1972-01-01,4557.0
1973-01-01,5005.0
1974-01-01,5406.0
1975-01-01,5786.0
1976-01-01,6418.0
1977-01-01,7050.0
1978-01-01,7932.0
1979-01-01,8896.0
1980-01-01,10043.0
1981-01-01,11217.0
1982-01-01,12199.0
1983-01-01,13270.0
1984-01-01,14693.0
1985-01-01,15883.0
1986-01-01,17072.0
1987-01-01,18292.0
1988-01-01,19682.0
1989-01-01,20665.0
1990-01-01,20681.0
1991-01-01,21459.0
1992-01-01,22323.0
1993-01-01,22812.0
1994-01-01,24071.0
1995-01-01,25205.0
1996-01-01,26298.0
1997-01-01,27985.0
1998-01-01,30348.0
1999-01-01,31857.0
2000-01-01,35323.0
2001-01-01,36782.0
2002-01-01,37013.0
2003-01-01,37374.0
2004-01-01,39324.0
2005-01-01,40404.0
2006-01-01,42866.0
2007-01-01,44422.0
2008-01-01,45713.0
2009-01-01,45119.0
2010-01-01,46983.0
2011-01-01,49088.0
2012-01-01,50719.0
2013-01-01,50428.0
2014-01-01,51993.0
2015-01-01,54166.0
2016-01-01,55681.0
2017-01-01,57882.0
2018-01-01,60338.0
2019-01-01,63947.0
2020-01-01,67537.0
2021-01-01,73682.0
2022-01-01,74827.0
2023-01-01,78944.0
