DATE,JACK128PCPI
1969-01-01,2884
1970-01-01,3151
1971-01-01,3430
1972-01-01,3784
1973-01-01,4280
1974-01-01,4713
1975-01-01,4961
1976-01-01,5514
1977-01-01,6102
1978-01-01,6842
1979-01-01,7721
1980-01-01,8291
1981-01-01,9150
1982-01-01,9571
1983-01-01,10056
1984-01-01,10938
1985-01-01,11330
1986-01-01,11804
1987-01-01,12489
1988-01-01,13428
1989-01-01,14680
1990-01-01,15330
1991-01-01,16047
1992-01-01,17015
1993-01-01,17928
1994-01-01,19169
1995-01-01,20335
1996-01-01,21242
1997-01-01,22410
1998-01-01,23510
1999-01-01,24051
2000-01-01,25246
2001-01-01,26592
2002-01-01,27098
2003-01-01,28119
2004-01-01,29553
2005-01-01,31251
2006-01-01,33042
2007-01-01,34004
2008-01-01,36519
2009-01-01,35037
2010-01-01,36249
2011-01-01,38211
2012-01-01,39216
2013-01-01,39748
2014-01-01,40989
2015-01-01,41421
2016-01-01,41489
2017-01-01,41960
2018-01-01,42966
2019-01-01,44621
2020-01-01,48607
2021-01-01,53345
2022-01-01,54710
2023-01-01,58104
