DATE,LRSPCPI
1969-01-01,3386
1970-01-01,3635
1971-01-01,3989
1972-01-01,4397
1973-01-01,4901
1974-01-01,5364
1975-01-01,5906
1976-01-01,6451
1977-01-01,7000
1978-01-01,7845
1979-01-01,8624
1980-01-01,9403
1981-01-01,10289
1982-01-01,10948
1983-01-01,11729
1984-01-01,12681
1985-01-01,13565
1986-01-01,14276
1987-01-01,14675
1988-01-01,15537
1989-01-01,16663
1990-01-01,17588
1991-01-01,18457
1992-01-01,19655
1993-01-01,20254
1994-01-01,21087
1995-01-01,22184
1996-01-01,23265
1997-01-01,24147
1998-01-01,25529
1999-01-01,26235
2000-01-01,27387
2001-01-01,28846
2002-01-01,29515
2003-01-01,30892
2004-01-01,32136
2005-01-01,33861
2006-01-01,35077
2007-01-01,37058
2008-01-01,37497
2009-01-01,36979
2010-01-01,37332
2011-01-01,38639
2012-01-01,40594
2013-01-01,39748
2014-01-01,41082
2015-01-01,42283
2016-01-01,43156
2017-01-01,43870
2018-01-01,44948
2019-01-01,46726
2020-01-01,50915
2021-01-01,55386
2022-01-01,56399
2023-01-01,59463
