DATE,MONT801PCPI
1969-01-01,3134
1970-01-01,3435
1971-01-01,3846
1972-01-01,4288
1973-01-01,4744
1974-01-01,5151
1975-01-01,5524
1976-01-01,6094
1977-01-01,6570
1978-01-01,7376
1979-01-01,8056
1980-01-01,8753
1981-01-01,9568
1982-01-01,10177
1983-01-01,11106
1984-01-01,12087
1985-01-01,12978
1986-01-01,13703
1987-01-01,14464
1988-01-01,15522
1989-01-01,16720
1990-01-01,17528
1991-01-01,18191
1992-01-01,19182
1993-01-01,19725
1994-01-01,20713
1995-01-01,21656
1996-01-01,22426
1997-01-01,23415
1998-01-01,24547
1999-01-01,25401
2000-01-01,26483
2001-01-01,26666
2002-01-01,27744
2003-01-01,29063
2004-01-01,30784
2005-01-01,31884
2006-01-01,33073
2007-01-01,33936
2008-01-01,34690
2009-01-01,34313
2010-01-01,34928
2011-01-01,36205
2012-01-01,36370
2013-01-01,36508
2014-01-01,37369
2015-01-01,38885
2016-01-01,39809
2017-01-01,40753
2018-01-01,41611
2019-01-01,42720
2020-01-01,45501
2021-01-01,49259
2022-01-01,50135
2023-01-01,53266
