DATE,SDPCPI
1929-01-01,415
1930-01-01,357
1931-01-01,242
1932-01-01,189
1933-01-01,136
1934-01-01,190
1935-01-01,305
1936-01-01,248
1937-01-01,321
1938-01-01,317
1939-01-01,341
1940-01-01,357
1941-01-01,470
1942-01-01,755
1943-01-01,853
1944-01-01,976
1945-01-01,1083
1946-01-01,1121
1947-01-01,1254
1948-01-01,1503
1949-01-01,1121
1950-01-01,1298.0
1951-01-01,1520.0
1952-01-01,1357.0
1953-01-01,1483.0
1954-01-01,1509.0
1955-01-01,1391.0
1956-01-01,1474.0
1957-01-01,1737.0
1958-01-01,1811.0
1959-01-01,1621.0
1960-01-01,1940.0
1961-01-01,1924.0
1962-01-01,2154.0
1963-01-01,2081.0
1964-01-01,2062.0
1965-01-01,2350.0
1966-01-01,2574.0
1967-01-01,2662.0
1968-01-01,2861.0
1969-01-01,3108.0
1970-01-01,3386.0
1971-01-01,3684.0
1972-01-01,4215.0
1973-01-01,5310.0
1974-01-01,5313.0
1975-01-01,5829.0
1976-01-01,5726.0
1977-01-01,6477.0
1978-01-01,7460.0
1979-01-01,8222.0
1980-01-01,8275.0
1981-01-01,9648.0
1982-01-01,10153.0
1983-01-01,10501.0
1984-01-01,11858.0
1985-01-01,12144.0
1986-01-01,12711.0
1987-01-01,13366.0
1988-01-01,13952.0
1989-01-01,15044.0
1990-01-01,16474.0
1991-01-01,17028.0
1992-01-01,18147.0
1993-01-01,18722.0
1994-01-01,19943.0
1995-01-01,20144.0
1996-01-01,22117.0
1997-01-01,22571.0
1998-01-01,24265.0
1999-01-01,25251.0
2000-01-01,26727.0
2001-01-01,27563.0
2002-01-01,27497.0
2003-01-01,29883.0
2004-01-01,31871.0
2005-01-01,33534.0
2006-01-01,34983.0
2007-01-01,38330.0
2008-01-01,40891.0
2009-01-01,39435.0
2010-01-01,41274.0
2011-01-01,44530.0
2012-01-01,44992.0
2013-01-01,44983.0
2014-01-01,46727.0
2015-01-01,48302.0
2016-01-01,48279.0
2017-01-01,49404.0
2018-01-01,51575.0
2019-01-01,54406.0
2020-01-01,59429.0
2021-01-01,67029.0
2022-01-01,69724.0
2023-01-01,72466.0
