DATE,TALL212PCPI
1969-01-01,2794
1970-01-01,3107
1971-01-01,3438
1972-01-01,3855
1973-01-01,4329
1974-01-01,4673
1975-01-01,5229
1976-01-01,5612
1977-01-01,5960
1978-01-01,6519
1979-01-01,7279
1980-01-01,7999
1981-01-01,8870
1982-01-01,9508
1983-01-01,10343
1984-01-01,11120
1985-01-01,11884
1986-01-01,13044
1987-01-01,13914
1988-01-01,15134
1989-01-01,16419
1990-01-01,17384
1991-01-01,17806
1992-01-01,18588
1993-01-01,19236
1994-01-01,19922
1995-01-01,21210
1996-01-01,22016
1997-01-01,22756
1998-01-01,24184
1999-01-01,25230
2000-01-01,26186
2001-01-01,27853
2002-01-01,28300
2003-01-01,29011
2004-01-01,30370
2005-01-01,31695
2006-01-01,32608
2007-01-01,33577
2008-01-01,34013
2009-01-01,33246
2010-01-01,34649
2011-01-01,36361
2012-01-01,35673
2013-01-01,35127
2014-01-01,36764
2015-01-01,37848
2016-01-01,39168
2017-01-01,40621
2018-01-01,42590
2019-01-01,44606
2020-01-01,47470
2021-01-01,51561
2022-01-01,51754
2023-01-01,55363
